city,state,population_size
Sertolovo,Russia,56620
Maykop,Russia,141475
Michurinsk,Russia,90722
Novoshakhtinsk,Russia,106534
Sosnovy Bor,Russia,67720
Kuznetsk,Russia,80497
Yurga,Russia,80840
Urus-Martan,Russia,62702
Kogalym,Russia,67727
Penza,Russia,520300
Ulan-Ude,Russia,439128
Ivanteyevka,Russia,81254
Slavyansk-na-Kubani,Russia,67919
Tomsk,Russia,576624
Mikhaylovsk,Russia,95721
Fryazino,Russia,59535
Bryansk,Russia,402675
Budyonnovsk,Russia,61329
Rubtsovsk,Russia,141584
Tobolsk,Russia,98932
Novosibirsk,Russia,1625631
Rostov-on-Don,Russia,1137904
Tver,Russia,425072
Yevpatoria,Russia,108248
Khimki,Russia,259550
Chistopol,Russia,59446
Novocheboksarsk,Russia,127226
Kamensk-Uralsky,Russia,166086
Chaykovsky,Russia,82382
Svobodny,Russia,54017
Gus-Khrustalny,Russia,52779
Stupino,Russia,65908
Norilsk,Russia,181830
Elista,Russia,103122
Pavlodar,Kazakhstan,329002
Manado,Indonesia,451893
Dukuhturi,Indonesia,98074
Amlapura,Indonesia,31869
Karangsembung,Indonesia,75856
Mbanza Ngungu,DR Congo,86356